task,model,mae,rmse,r2,baseline_improvement_pct,accuracy,macro_f1,precision_macro,recall_macro,high_risk_recall
regression,baseline_previous_day,63.5344,78.9418,-0.3471,0.0,,,,,
regression,baseline_rolling_7d,40.6773,47.9483,0.503,0.0,,,,,
regression,linear_regression,18.1632,23.8108,0.8774,55.3482,,,,,
regression,random_forest,20.6552,27.3029,0.8389,49.2219,,,,,
regression,gradient_boosting,18.9377,24.7851,0.8672,53.444,,,,,
classification,baseline_majority,,,,0.0,0.6528,0.395,0.3264,0.5,0.0
classification,logistic_regression,,,,115.0629,0.8611,0.8495,0.8444,0.8562,0.84
classification,decision_tree,,,,88.9155,0.7639,0.7462,0.7419,0.7536,0.72
classification,random_forest,,,,110.0912,0.8472,0.8299,0.8333,0.8268,0.76
classification,gradient_boosting,,,,100.6564,0.8056,0.7926,0.7867,0.8043,0.8
user_type,random_forest_auxiliary,,,,,0.875,0.5724,,,
